35
x1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x2;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x3;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x4;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x5;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x6;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x7;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x8;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x9;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x10;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x11;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x12;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x13;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x14;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x15;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x16;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x17;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x18;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x19;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x21;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x22;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x23;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x24;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x25;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x26;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x27;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x28;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x29;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x32;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x33;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x34;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
x35;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
249
ext
x6;x16
196
5;6
2;11
11;7
16;7
4;9
9;1
16;17
3;9
8;6
10;6
3;6
8;4
12;6
2;4
3;2
2;17
15;11
12;4
11;4
16;8
16;4
8;2
7;13
5;11
11;5
8;3
8;11
8;5
9;5
5;2
1;13
14;4
8;1
15;8
6;16
17;9
6;14
12;13
16;13
8;13
8;9
17;8
9;7
5;5
2;9
15;14
17;10
11;15
14;11
2;13
3;13
7;11
16;14
11;14
3;15
10;15
6;3
15;6
10;8
12;11
10;4
4;1
8;14
2;1
10;17
15;4
4;10
13;16
17;15
2;2
4;15
9;13
2;8
15;5
6;6
17;16
10;7
3;8
14;5
9;9
9;4
1;6
4;7
12;14
2;16
12;9
10;9
11;6
2;6
4;14
3;12
1;14
2;12
16;5
7;17
14;15
13;3
13;4
6;13
6;5
8;17
4;16
7;14
8;15
12;3
7;8
1;9
12;5
5;15
13;2
17;7
14;6
3;16
13;11
17;11
1;16
2;14
13;15
7;16
7;10
16;1
9;11
10;14
5;3
11;11
2;5
9;17
6;9
13;7
12;17
11;10
11;12
17;2
12;15
11;1
16;11
15;12
10;3
3;17
7;9
10;16
5;12
3;5
6;7
1;5
16;15
10;1
6;12
15;9
14;13
13;1
10;5
11;3
10;2
6;10
17;14
13;8
3;3
13;14
3;1
17;6
14;3
7;3
12;10
7;2
5;4
15;7
9;15
2;3
3;11
17;12
1;7
17;1
9;12
8;10
16;3
6;11
14;10
4;6
10;13
17;17
7;7
13;9
1;10
6;17
1;8
4;13
9;14
15;13
1;4
15;2
8;12
14;12
11;9
14;7
6;4
ext
x4;x27
196
1;7
3;16
1;13
17;10
15;6
13;14
2;17
16;4
12;1
2;9
2;2
1;5
1;1
4;13
3;1
2;16
12;17
9;17
3;2
12;14
14;10
8;10
8;8
12;4
3;14
11;16
5;10
3;4
1;16
6;14
17;17
11;15
2;10
15;13
11;9
14;17
6;10
7;11
12;6
5;14
13;11
4;5
3;5
10;3
1;11
12;7
5;17
4;16
6;6
5;11
14;11
13;12
13;1
10;12
2;4
2;8
17;5
4;8
16;5
7;1
12;16
15;7
4;10
11;11
9;7
9;10
6;5
17;11
17;2
1;10
17;1
11;7
10;15
15;5
14;2
1;2
10;6
16;1
17;3
3;12
15;16
2;3
9;1
14;6
9;6
13;3
9;8
4;2
5;13
8;15
3;9
12;10
9;5
8;16
4;6
10;16
11;2
10;11
7;5
11;17
10;7
6;1
10;13
14;9
1;3
8;4
8;2
12;9
6;3
14;13
16;13
2;14
6;7
6;4
13;2
14;3
16;10
9;15
5;7
14;12
4;1
4;11
7;14
12;5
12;3
16;7
13;6
